StartTime,StopTime,Duration,ActivityLabel,ActivityType
0.0,360.051,360.051,,Others
360.029,369.411,9.382,FaceForward,AuralOral Communication
362.204,427.422,65.218,ListenV,AuralOral Communication
362.987,369.227,6.24,Fidget,Others
369.227,376.506,7.279,Note,Others
369.432,375.924,6.492,FaceDown,Head Movement
375.924,406.742,30.818,FaceForward,Head Movement
406.812,408.529,1.717,FaceDown,Head Movement
408.529,411.705,3.176,FaceForward,Head Movement
411.705,419.904,8.199,FaceDown,Head Movement
412.708,429.364,16.656,Note,Others
419.917,420.729,0.812,FaceForward,Head Movement
420.735,434.794,14.059,FaceDown,Head Movement
429.364,431.898,2.534,,Others
431.903,434.928,3.025,Note,Others
434.794,435.788,0.994,FaceForward,Head Movement
435.409,464.661,29.252,Note,Others
435.788,492.564,56.776,FaceDown,Head Movement
466.799,474.813,8.014,Note,Others
477.184,491.301,14.117,Note,Others
492.581,496.36,3.779,FaceForward,Head Movement
494.288,500.321,6.033,Fidget,Others
496.36,499.791,3.431,FaceDown,Head Movement
499.794,500.268,0.474,TurnL,Head Movement
500.278,500.747,0.469,TurnR,Head Movement
500.321,511.995,11.674,,Others
500.747,501.341,0.594,FaceForward,Head Movement
501.341,507.926,6.585,TurnL,Head Movement
507.991,511.261,3.27,FaceDown,Head Movement
511.262,513.794,2.532,TurnL,Head Movement
511.987,517.489,5.502,ListenL,AuralOral Communication
513.794,514.315,0.521,FaceDown,Head Movement
514.315,519.384,5.069,TurnL,Head Movement
517.489,521.125,3.636,TalkL,AuralOral Communication
519.387,520.305,0.918,FaceDown,Head Movement
520.307,522.352,2.045,TurnL,Head Movement
521.125,521.87,0.745,ListenL,AuralOral Communication
521.87,527.656,5.786,TalkL,AuralOral Communication
522.352,522.547,0.195,FaceForward,Head Movement
522.547,527.621,5.074,TurnL,Head Movement
527.628,529.163,1.535,TurnR,Head Movement
527.656,534.606,6.95,TalkR,AuralOral Communication
529.168,532.814,3.646,FaceForward,Head Movement
532.814,534.344,1.53,Nod,Head Movement
534.344,535.773,1.429,TurnL,Head Movement
534.611,551.397,16.786,ListenL,AuralOral Communication
535.773,536.668,0.895,Nod,Head Movement
536.681,551.5,14.819,TurnL,Head Movement
551.397,553.355,1.958,ListenR,AuralOral Communication
551.506,552.084,0.578,TurnR,Head Movement
552.105,554.215,2.11,FaceForward,Head Movement
553.355,554.816,1.461,TalkR,AuralOral Communication
554.23,554.723,0.493,FaceDown,Head Movement
554.723,559.4,4.677,TurnL,Head Movement
554.816,559.405,4.589,ListenL,AuralOral Communication
559.405,562.51,3.105,ListenR,AuralOral Communication
559.407,561.736,2.329,TurnR,Head Movement
561.736,562.394,0.658,FaceForward,Head Movement
562.394,562.912,0.518,FaceDown,Head Movement
562.51,565.907,3.397,TalkR,AuralOral Communication
562.922,564.728,1.806,TurnR,Head Movement
564.747,565.285,0.538,TurnL,Head Movement
565.285,566.899,1.614,Nod,Head Movement
565.955,572.007,6.052,ListenL,AuralOral Communication
566.9,567.805,0.905,TurnL,Head Movement
567.805,568.405,0.6,FaceDown,Head Movement
568.411,571.157,2.746,TurnL,Head Movement
571.175,572.014,0.839,FaceForward,Head Movement
572.007,575.396,3.389,TalkL,AuralOral Communication
572.014,576.131,4.117,TurnL,Head Movement
575.396,579.769,4.373,TalkU,AuralOral Communication
576.145,576.774,0.629,TurnR,Head Movement
576.774,581.263,4.489,TurnL,Head Movement
579.769,580.9159999999999,1.147,ListenL,AuralOral Communication
580.916,586.645,5.729,TalkU,AuralOral Communication
581.27,581.596,0.326,TurnR,Head Movement
581.596,582.746,1.15,Nod,Head Movement
582.747,583.422,0.675,FaceForward,Head Movement
583.504,584.314,0.81,TurnL,Head Movement
584.314,584.741,0.427,FaceForward,Head Movement
584.769,586.0,1.231,TurnR,Head Movement
586.004,590.594,4.59,TurnL,Head Movement
586.645,590.677,4.032,ListenL,AuralOral Communication
590.6,591.391,0.791,Shake,Head Movement
590.686,597.707,7.021,TalkL,AuralOral Communication
591.391,593.275,1.884,Nod,Head Movement
593.275,595.806,2.531,FaceForward,Head Movement
595.806,601.726,5.92,TurnL,Head Movement
597.723,604.2,6.477,ListenL,AuralOral Communication
601.75,602.663,0.913,Nod,Head Movement
602.663,603.336,0.673,FaceForward,Head Movement
603.337,603.576,0.239,FaceDown,Head Movement
603.576,604.717,1.141,Nod,Head Movement
604.2,605.014,0.814,ListenR,AuralOral Communication
604.726,605.484,0.758,TurnR,Head Movement
605.023,606.307,1.284,TalkR,AuralOral Communication
605.484,606.145,0.661,Nod,Head Movement
606.151,607.85,1.6989999999999998,FaceForward,Head Movement
606.307,608.49,2.183,ListenR,AuralOral Communication
607.853,608.761,0.908,Nod,Head Movement
608.49,609.317,0.827,ListenL,AuralOral Communication
608.954,609.364,0.41,TurnL,Head Movement
609.317,612.514,3.197,ListenL,AuralOral Communication
609.379,613.209,3.83,FaceForward,Head Movement
612.514,617.055,4.541,TalkR,AuralOral Communication
613.209,615.8,2.591,TurnR,Head Movement
615.808,616.748,0.94,Nod,Head Movement
616.77,618.221,1.451,TurnR,Head Movement
617.055,618.404,1.349,ListenR,AuralOral Communication
618.221,619.231,1.01,TurnL,Head Movement
618.404,619.848,1.444,ListenL,AuralOral Communication
619.236,621.859,2.623,Nod,Head Movement
619.848,623.356,3.508,TalkU,AuralOral Communication
621.864,622.905,1.041,TurnL,Head Movement
622.908,624.172,1.264,FaceForward,Head Movement
623.979,624.815,0.836,TalkU,AuralOral Communication
624.172,624.493,0.321,Nod,Head Movement
624.493,626.473,1.98,TurnL,Head Movement
624.815,625.995,1.18,ListenL,AuralOral Communication
625.995,629.004,3.009,TalkR,AuralOral Communication
626.498,627.5889999999999,1.091,TurnR,Head Movement
627.602,629.056,1.454,Nod,Head Movement
629.043,630.056,1.013,ListenR,AuralOral Communication
629.078,632.863,3.785,TurnR,Head Movement
630.056,631.95,1.894,TalkR,AuralOral Communication
631.95,633.317,1.367,ListenR,AuralOral Communication
633.042,634.844,1.802,Nod,Head Movement
633.317,639.841,6.524,TalkR,AuralOral Communication
634.844,635.304,0.46,FaceForward,Head Movement
635.304,636.468,1.164,TurnR,Head Movement
636.483,641.702,5.219,FaceForward,Head Movement
639.841,642.295,2.454,ListenR,AuralOral Communication
641.715,645.848,4.133,Nod,Head Movement
642.295,643.4590000000001,1.164,TalkR,AuralOral Communication
643.459,645.449,1.99,ListenR,AuralOral Communication
645.858,647.129,1.271,FaceForward,Head Movement
646.209,648.827,2.618,TalkR,AuralOral Communication
647.129,648.384,1.255,TurnR,Head Movement
648.413,648.904,0.491,FaceForward,Head Movement
648.904,649.578,0.674,TurnL,Head Movement
649.665,650.509,0.844,FaceForward,Head Movement
650.509,651.847,1.338,TurnL,Head Movement
650.526,653.262,2.736,ListenL,AuralOral Communication
651.856,654.3,2.444,FaceForward,Head Movement
653.262,661.56,8.298,TalkU,AuralOral Communication
654.3,656.915,2.615,TurnR,Head Movement
656.919,657.44,0.521,TurnL,Head Movement
657.44,659.668,2.228,TurnR,Head Movement
659.702,661.001,1.299,FaceForward,Head Movement
661.001,665.668,4.667,TurnL,Head Movement
661.56,665.802,4.242,ListenL,AuralOral Communication
665.668,666.715,1.047,TurnR,Head Movement
665.802,672.999,7.197,ListenR,AuralOral Communication
666.729,667.033,0.304,FaceDown,Head Movement
667.044,669.391,2.347,TurnR,Head Movement
669.397,671.75,2.353,FaceForward,Head Movement
671.75,672.178,0.428,TurnL,Head Movement
672.194,672.998,0.804,FaceForward,Head Movement
672.999,677.58,4.581,ListenL,AuralOral Communication
673.01,677.5,4.49,TurnL,Head Movement
677.509,678.708,1.199,Nod,Head Movement
678.513,684.717,6.204,ListenR,AuralOral Communication
678.723,682.975,4.252,TurnR,Head Movement
683.018,684.538,1.52,FaceForward,Head Movement
684.54,686.506,1.966,Shake,Head Movement
684.717,686.493,1.776,TalkR,AuralOral Communication
686.493,688.506,2.013,ListenR,AuralOral Communication
686.548,687.505,0.957,TurnR,Head Movement
687.511,702.969,15.458,FaceForward,Head Movement
688.506,714.514,26.008,TalkU,AuralOral Communication
702.969,703.237,0.268,TurnL,Head Movement
703.252,707.889,4.6370000000000005,TurnR,Head Movement
707.92,708.458,0.538,TurnL,Head Movement
708.47,709.117,0.647,FaceForward,Head Movement
709.117,710.263,1.146,TurnR,Head Movement
710.263,711.211,0.948,FaceForward,Head Movement
711.22,712.71,1.49,TurnR,Head Movement
712.727,715.087,2.36,Nod,Head Movement
715.095,716.678,1.583,TurnL,Head Movement
716.486,717.766,1.28,TalkU,AuralOral Communication
716.693,718.552,1.859,TurnR,Head Movement
718.552,719.552,1.0,TurnL,Head Movement
719.205,721.949,2.744,ListenL,AuralOral Communication
719.565,721.28,1.715,Nod,Head Movement
721.71,723.37,1.66,Nod,Head Movement
721.949,734.036,12.087,TalkR,AuralOral Communication
723.404,724.383,0.979,Shake,Head Movement
724.431,725.011,0.58,TurnR,Head Movement
725.011,728.514,3.503,Nod,Head Movement
728.526,730.783,2.257,Nod,Head Movement
730.783,733.41,2.627,Shake,Head Movement
733.41,734.352,0.942,TurnL,Head Movement
734.364,735.264,0.9,Shake,Head Movement
735.266,735.936,0.67,FaceForward,Head Movement
735.652,759.539,23.887,ListenL,AuralOral Communication
735.939,738.973,3.034,TurnL,Head Movement
738.987,740.859,1.872,Nod,Head Movement
741.361,742.685,1.324,Nod,Head Movement
748.944,751.357,2.413,Nod,Head Movement
752.86,754.913,2.053,TurnL,Head Movement
759.174,761.189,2.015,TurnR,Head Movement
759.547,761.384,1.837,ListenR,AuralOral Communication
761.189,762.119,0.93,TurnL,Head Movement
761.384,762.413,1.029,ListenL,AuralOral Communication
762.119,766.5,4.381,TurnR,Head Movement
762.413,765.71,3.297,ListenR,AuralOral Communication
765.71,768.518,2.808,TalkR,AuralOral Communication
766.505,767.676,1.171,FaceForward,Head Movement
767.676,769.942,2.266,TurnR,Head Movement
768.518,770.226,1.708,ListenR,AuralOral Communication
769.996,771.026,1.03,Nod,Head Movement
770.226,774.915,4.689,TalkU,AuralOral Communication
771.076,772.855,1.779,FaceForward,Head Movement
772.868,775.087,2.219,Nod,Head Movement
775.098,777.808,2.71,FaceDown,Head Movement
775.606,783.581,7.975,TalkU,AuralOral Communication
777.808,778.926,1.118,TurnR,Head Movement
