StartTime,StopTime,Duration,ActivityLabel,ActivityType
360.029,369.411,9.382,FaceForward,AuralOral Communication
362.204,427.422,65.218,ListenV,AuralOral Communication
511.987,517.489,5.502,ListenL,AuralOral Communication
517.489,521.125,3.636,TalkL,AuralOral Communication
521.125,521.87,0.745,ListenL,AuralOral Communication
521.87,527.656,5.786,TalkL,AuralOral Communication
527.656,534.606,6.95,TalkR,AuralOral Communication
534.611,551.397,16.786,ListenL,AuralOral Communication
551.397,553.355,1.958,ListenR,AuralOral Communication
553.355,554.816,1.461,TalkR,AuralOral Communication
554.816,559.405,4.589,ListenL,AuralOral Communication
559.405,562.51,3.105,ListenR,AuralOral Communication
562.51,565.907,3.397,TalkR,AuralOral Communication
565.955,572.007,6.052,ListenL,AuralOral Communication
572.007,575.396,3.389,TalkL,AuralOral Communication
575.396,579.769,4.373,TalkU,AuralOral Communication
579.769,580.9159999999999,1.147,ListenL,AuralOral Communication
580.9159999999999,586.645,5.729,TalkU,AuralOral Communication
586.645,590.677,4.032,ListenL,AuralOral Communication
590.686,597.707,7.021,TalkL,AuralOral Communication
597.723,604.2,6.477,ListenL,AuralOral Communication
604.2,605.014,0.814,ListenR,AuralOral Communication
605.023,606.307,1.284,TalkR,AuralOral Communication
606.307,608.49,2.183,ListenR,AuralOral Communication
608.49,609.317,0.827,ListenL,AuralOral Communication
609.317,612.514,3.197,ListenL,AuralOral Communication
612.514,617.055,4.541,TalkR,AuralOral Communication
617.055,618.404,1.349,ListenR,AuralOral Communication
618.404,619.848,1.444,ListenL,AuralOral Communication
619.848,623.356,3.508,TalkU,AuralOral Communication
623.979,624.815,0.836,TalkU,AuralOral Communication
624.815,625.995,1.18,ListenL,AuralOral Communication
625.995,629.004,3.009,TalkR,AuralOral Communication
629.043,630.056,1.013,ListenR,AuralOral Communication
630.056,631.95,1.894,TalkR,AuralOral Communication
631.95,633.317,1.367,ListenR,AuralOral Communication
633.317,639.841,6.524,TalkR,AuralOral Communication
639.841,642.295,2.454,ListenR,AuralOral Communication
642.295,643.4590000000001,1.164,TalkR,AuralOral Communication
643.4590000000001,645.449,1.99,ListenR,AuralOral Communication
646.2090000000001,648.827,2.618,TalkR,AuralOral Communication
650.526,653.262,2.736,ListenL,AuralOral Communication
653.262,661.56,8.298,TalkU,AuralOral Communication
661.56,665.802,4.242,ListenL,AuralOral Communication
665.802,672.999,7.197,ListenR,AuralOral Communication
672.999,677.58,4.581,ListenL,AuralOral Communication
678.513,684.717,6.204,ListenR,AuralOral Communication
684.717,686.493,1.776,TalkR,AuralOral Communication
686.493,688.506,2.013,ListenR,AuralOral Communication
688.506,714.514,26.008,TalkU,AuralOral Communication
716.486,717.766,1.28,TalkU,AuralOral Communication
719.205,721.949,2.744,ListenL,AuralOral Communication
721.949,734.036,12.087,TalkR,AuralOral Communication
735.652,759.539,23.887,ListenL,AuralOral Communication
759.547,761.384,1.837,ListenR,AuralOral Communication
761.384,762.413,1.029,ListenL,AuralOral Communication
762.413,765.71,3.297,ListenR,AuralOral Communication
