StartTime,StopTime,Duration,ActivityLabel,ActivityType
369.432,375.924,6.492,FaceDown,Head Movement
375.924,406.742,30.818,FaceForward,Head Movement
406.812,408.529,1.717,FaceDown,Head Movement
408.529,411.705,3.176,FaceForward,Head Movement
411.705,419.904,8.199,FaceDown,Head Movement
419.917,420.729,0.812,FaceForward,Head Movement
420.735,434.794,14.059,FaceDown,Head Movement
434.794,435.788,0.994,FaceForward,Head Movement
435.788,492.564,56.776,FaceDown,Head Movement
492.581,496.36,3.779,FaceForward,Head Movement
496.36,499.791,3.431,FaceDown,Head Movement
499.794,500.268,0.474,TurnL,Head Movement
500.278,500.747,0.469,TurnR,Head Movement
500.747,501.341,0.594,FaceForward,Head Movement
501.341,507.926,6.585,TurnL,Head Movement
507.991,511.261,3.27,FaceDown,Head Movement
511.262,513.794,2.532,TurnL,Head Movement
513.794,514.315,0.521,FaceDown,Head Movement
514.315,519.384,5.069,TurnL,Head Movement
519.387,520.305,0.918,FaceDown,Head Movement
520.307,522.352,2.045,TurnL,Head Movement
522.352,522.547,0.195,FaceForward,Head Movement
522.547,527.621,5.074,TurnL,Head Movement
527.628,529.163,1.535,TurnR,Head Movement
529.168,532.814,3.646,FaceForward,Head Movement
532.814,534.344,1.53,Nod,Head Movement
534.344,535.773,1.429,TurnL,Head Movement
535.773,536.668,0.895,Nod,Head Movement
536.681,551.5,14.819,TurnL,Head Movement
551.506,552.084,0.578,TurnR,Head Movement
552.105,554.215,2.11,FaceForward,Head Movement
554.23,554.723,0.493,FaceDown,Head Movement
554.723,559.4,4.677,TurnL,Head Movement
559.407,561.736,2.329,TurnR,Head Movement
561.736,562.394,0.658,FaceForward,Head Movement
562.394,562.912,0.518,FaceDown,Head Movement
562.922,564.728,1.806,TurnR,Head Movement
564.747,565.285,0.538,TurnL,Head Movement
565.285,566.899,1.614,Nod,Head Movement
566.9,567.805,0.905,TurnL,Head Movement
567.805,568.405,0.6,FaceDown,Head Movement
568.4110000000001,571.157,2.746,TurnL,Head Movement
571.175,572.014,0.839,FaceForward,Head Movement
572.014,576.131,4.117,TurnL,Head Movement
576.145,576.774,0.629,TurnR,Head Movement
576.774,581.263,4.489,TurnL,Head Movement
581.27,581.596,0.326,TurnR,Head Movement
581.596,582.746,1.15,Nod,Head Movement
582.747,583.422,0.675,FaceForward,Head Movement
583.504,584.314,0.81,TurnL,Head Movement
584.314,584.741,0.427,FaceForward,Head Movement
584.769,586.0,1.231,TurnR,Head Movement
586.004,590.594,4.59,TurnL,Head Movement
590.6,591.391,0.791,Shake,Head Movement
591.391,593.275,1.884,Nod,Head Movement
593.275,595.806,2.531,FaceForward,Head Movement
595.806,601.726,5.92,TurnL,Head Movement
601.75,602.663,0.913,Nod,Head Movement
602.663,603.336,0.673,FaceForward,Head Movement
603.337,603.576,0.239,FaceDown,Head Movement
603.576,604.717,1.141,Nod,Head Movement
604.726,605.484,0.758,TurnR,Head Movement
605.484,606.145,0.661,Nod,Head Movement
606.151,607.85,1.6989999999999998,FaceForward,Head Movement
607.853,608.761,0.908,Nod,Head Movement
608.954,609.364,0.41,TurnL,Head Movement
609.379,613.209,3.83,FaceForward,Head Movement
613.209,615.8,2.591,TurnR,Head Movement
615.808,616.748,0.94,Nod,Head Movement
616.77,618.221,1.451,TurnR,Head Movement
618.221,619.231,1.01,TurnL,Head Movement
619.236,621.859,2.623,Nod,Head Movement
621.864,622.905,1.041,TurnL,Head Movement
622.908,624.172,1.264,FaceForward,Head Movement
624.172,624.493,0.321,Nod,Head Movement
624.493,626.473,1.98,TurnL,Head Movement
626.498,627.5889999999999,1.091,TurnR,Head Movement
627.602,629.056,1.454,Nod,Head Movement
629.078,632.863,3.785,TurnR,Head Movement
633.042,634.844,1.802,Nod,Head Movement
634.844,635.304,0.46,FaceForward,Head Movement
635.304,636.468,1.164,TurnR,Head Movement
636.483,641.702,5.219,FaceForward,Head Movement
641.715,645.848,4.133,Nod,Head Movement
645.858,647.129,1.271,FaceForward,Head Movement
647.129,648.384,1.255,TurnR,Head Movement
648.413,648.904,0.491,FaceForward,Head Movement
648.904,649.578,0.674,TurnL,Head Movement
649.665,650.509,0.844,FaceForward,Head Movement
650.509,651.847,1.338,TurnL,Head Movement
651.856,654.3,2.444,FaceForward,Head Movement
654.3,656.915,2.615,TurnR,Head Movement
656.919,657.44,0.521,TurnL,Head Movement
657.44,659.668,2.228,TurnR,Head Movement
659.702,661.001,1.299,FaceForward,Head Movement
661.001,665.668,4.667,TurnL,Head Movement
665.668,666.715,1.047,TurnR,Head Movement
666.729,667.033,0.304,FaceDown,Head Movement
667.044,669.391,2.347,TurnR,Head Movement
669.397,671.75,2.353,FaceForward,Head Movement
671.75,672.178,0.428,TurnL,Head Movement
672.194,672.998,0.804,FaceForward,Head Movement
673.01,677.5,4.49,TurnL,Head Movement
677.509,678.708,1.199,Nod,Head Movement
