StartTime,StopTime,Duration,ActivityLabel,ActivityType
1176.987,1177.984,0.997,Nod ,Head Movement 
1184.218,1184.953,0.735,ListenR ,AuralOral Communication 
0.0,360.051,360.051,,Others
362.987,369.227,6.24,Fidget,Others
369.227,376.506,7.279,Note,Others
412.708,429.364,16.656,Note,Others
429.364,431.898,2.534,,Others
431.903,434.928,3.025,Note,Others
435.409,464.661,29.252,Note,Others
466.799,474.813,8.014,Note,Others
477.184,491.301,14.117,Note,Others
494.288,500.321,6.033,Fidget,Others
500.321,511.995,11.674,,Others
823.892,915.632,91.74,,Others
927.912,932.133,4.221,FaceForward,Others
1066.376,1071.184,4.808,,Others
1072.708,1109.999,37.291,Note,Others
1109.999,1111.439,1.44,Fidget,Others
1134.001,1136.028,2.027,Fidget,Others
1164.612,1171.046,6.434,Fidget,Others
1182.023,1184.211,2.188,,Others
1192.149,1193.97,1.821,Fidget,Others
1195.405,1198.42,3.015,Fidget,Others
1408.737,1483.097,74.36,,Others
1511.69,1514.008,2.318,Note,Others
2190.367,2191.174,0.807,TurnR ,Head Movement 
3050.0460000000003,3052.267,2.221,FaceDown ,Head Movement 
1538.508,1584.774,46.266,Note,Others
1727.055,1728.489,1.434,,Others
1836.149,1839.612,3.463,Fidget,Others
1867.72,1871.676,3.956,Fidget,Others
1898.262,1958.558,60.296,,Others
1963.772,1995.076,31.304,Note,Others
2044.171,2047.077,2.906,Fidget,Others
2083.9700000000003,2110.759,26.789,Note,Others
2429.967,2483.275,53.308,,Others
2558.75,2615.304,56.554,Note,Others
2693.76,2695.651,1.891,Fidget,Others
2929.6040000000003,3001.976,72.372,N/A ,Others 
3034.794,3063.621,28.827,Note,Others
3134.216,3138.331,4.115,Note,Others
3454.031,3459.7380000000003,5.707,Phone,Others
3506.853,3508.778,1.925,ListenU ,AuralOral Communication 
3505.312,3510.766,5.454,Fidget,Others
3510.766,3512.233,1.467,Phone,Others
3602.766,3681.158,78.392,N/A ,Others 
