,StartTime,StopTime,Duration,ActivityLabel,ActivityType
428,0.0,360.051,360.051,,Others
0,360.029,369.411,9.382,FaceForward,AuralOral Communication
321,362.204,427.422,65.218,ListenV,AuralOral Communication
429,362.987,369.227,6.24,Fidget,Others
430,369.227,376.506,7.279,Note,Others
1,369.432,375.924,6.492,FaceDown,Head Movement
2,375.924,406.742,30.818,FaceForward,Head Movement
3,406.812,408.529,1.717,FaceDown,Head Movement
4,408.529,411.705,3.176,FaceForward,Head Movement
5,411.705,419.904,8.199,FaceDown,Head Movement
431,412.708,429.364,16.656,Note,Others
6,419.917,420.729,0.812,FaceForward,Head Movement
7,420.735,434.794,14.059,FaceDown,Head Movement
432,429.364,431.898,2.534,,Others
433,431.903,434.928,3.025,Note,Others
8,434.794,435.788,0.994,FaceForward,Head Movement
434,435.409,464.661,29.252,Note,Others
9,435.788,492.564,56.776,FaceDown,Head Movement
435,466.799,474.813,8.014,Note,Others
436,477.184,491.301,14.117,Note,Others
10,492.581,496.36,3.779,FaceForward,Head Movement
437,494.288,500.321,6.033,Fidget,Others
11,496.36,499.791,3.431,FaceDown,Head Movement
12,499.794,500.268,0.474,TurnL,Head Movement
13,500.278,500.747,0.469,TurnR,Head Movement
438,500.321,511.995,11.674,,Others
14,500.747,501.341,0.594,FaceForward,Head Movement
15,501.341,507.926,6.585,TurnL,Head Movement
16,507.991,511.261,3.27,FaceDown,Head Movement
17,511.262,513.794,2.532,TurnL,Head Movement
322,511.987,517.489,5.502,ListenL,AuralOral Communication
18,513.794,514.315,0.521,FaceDown,Head Movement
19,514.315,519.384,5.069,TurnL,Head Movement
323,517.489,521.125,3.636,TalkL,AuralOral Communication
20,519.387,520.305,0.918,FaceDown,Head Movement
21,520.307,522.352,2.045,TurnL,Head Movement
324,521.125,521.87,0.745,ListenL,AuralOral Communication
325,521.87,527.656,5.786,TalkL,AuralOral Communication
22,522.352,522.547,0.195,FaceForward,Head Movement
23,522.547,527.621,5.074,TurnL,Head Movement
24,527.628,529.163,1.535,TurnR,Head Movement
326,527.656,534.606,6.95,TalkR,AuralOral Communication
25,529.168,532.814,3.646,FaceForward,Head Movement
26,532.814,534.344,1.53,Nod,Head Movement
27,534.344,535.773,1.429,TurnL,Head Movement
327,534.611,551.397,16.786,ListenL,AuralOral Communication
28,535.773,536.668,0.895,Nod,Head Movement
29,536.681,551.5,14.819,TurnL,Head Movement
328,551.397,553.355,1.958,ListenR,AuralOral Communication
30,551.506,552.084,0.578,TurnR,Head Movement
31,552.105,554.215,2.11,FaceForward,Head Movement
329,553.355,554.816,1.461,TalkR,AuralOral Communication
32,554.23,554.723,0.493,FaceDown,Head Movement
33,554.723,559.4,4.677,TurnL,Head Movement
330,554.816,559.405,4.589,ListenL,AuralOral Communication
331,559.405,562.51,3.105,ListenR,AuralOral Communication
34,559.407,561.736,2.329,TurnR,Head Movement
35,561.736,562.394,0.658,FaceForward,Head Movement
36,562.394,562.912,0.518,FaceDown,Head Movement
332,562.51,565.907,3.397,TalkR,AuralOral Communication
37,562.922,564.728,1.806,TurnR,Head Movement
38,564.747,565.285,0.538,TurnL,Head Movement
39,565.285,566.899,1.614,Nod,Head Movement
333,565.955,572.007,6.052,ListenL,AuralOral Communication
40,566.9,567.805,0.905,TurnL,Head Movement
41,567.805,568.405,0.6,FaceDown,Head Movement
42,568.4110000000001,571.157,2.746,TurnL,Head Movement
43,571.175,572.014,0.839,FaceForward,Head Movement
334,572.007,575.396,3.389,TalkL,AuralOral Communication
44,572.014,576.131,4.117,TurnL,Head Movement
335,575.396,579.769,4.373,TalkU,AuralOral Communication
45,576.145,576.774,0.629,TurnR,Head Movement
46,576.774,581.263,4.489,TurnL,Head Movement
